p_level	f_level	random_label	colonized	not	percent
8	0	1	1	20	0.047619048
2	0	2	0	20	0
4	0	3	1	19	0.05
2	0	4	0	20	0
8	1	5	0	20	0
1	0	6	6	14	0.3
2	2	7	20	0	1
8	2	8	3	17	0.15
2	1	9	1	19	0.05
4	1	10	0	21	0
8	0	11	9	11	0.45
8	2	12	4	17	0.19047619
8	2	13	14	6	0.7
1	2	14	4	16	0.2
2	4	15	2	18	0.1
1	0	16	2	18	0.1
2	0	17	2	18	0.1
8	4	18	19	1	0.95
2	0	19	2	18	0.1
4	0	20	1	19	0.05
8	7	21	15	5	0.75
1	0	22	0	20	0
4	1	23	2	18	0.1
8	0	24	1	19	0.05
1	7	25	19	1	0.95
2	1	26	0	20	0
4	2	27	13	8	0.619047619
8	0	28	0	20	0
8	1	29	1	19	0.05
1	0	30	3	17	0.15
1	1	31	1	19	0.05
2	7	32	16	5	0.761904762
8	4	33	12	8	0.6
8	1	34	3	17	0.15
8	0	35	1	19	0.05
2	4	36	6	14	0.3
2	0	37	0	20	0
4	7	38	17	3	0.85
8	0	39	1	19	0.05
8	0	40	1	19	0.05
4	1	41	3	17	0.15
1	2	42	2	18	0.1
1	4	43	10	10	0.5
4	0	44	17	3	0.85
1	0	45	0	20	0
2	0	46	0	20	0
2	0	47	0	20	0
4	0	48	0	20	0
1	0	49	0	20	0
1	4	50	1	19	0.05
1	1	51	1	19	0.05
4	0	52	0	20	0
4	2	53	3	19	0.136363636
8	7	54	NA	NA	NA
2	0	55	1	19	0.05
8	4	56	0	20	0
1	7	57	9	12	0.428571429
1	0	58	2	18	0.1
4	4	59	12	8	0.6
4	2	60	2	18	0.1
4	4	61	5	15	0.25
8	0	62	4	16	0.2
8	0	63	2	18	0.1
4	0	64	0	20	0
4	0	65	2	18	0.1
4	4	66	19	1	0.95
1	2	67	18	2	0.9
1	0	68	0	20	0
1	7	69	20	0	1
4	0	70	0	20	0
2	7	71	19	2	0.904761905
2	1	72	3	17	0.15
2	7	73	10	10	0.5
1	0	74	0	20	0
4	0	75	0	20	0
2	2	76	15	5	0.75
8	7	77	2	18	0.1
8	0	78	4	16	0.2
1	1	79	2	18	0.1
4	0	80	1	19	0.05
2	4	81	2	18	0.1
2	0	82	3	17	0.15
2	2	83	11	9	0.55
4	7	84	18	2	0.9
1	4	85	2	18	0.1
2	0	86	0	20	0
4	7	87	5	16	0.238095238
1	0	88	1	18	0.052631579
