meso_num	plant_id	plant_sp	height_i_cm	height_f_cm	dead_all	above_biomass_g	belowBEF_biomass_g
1	sp1	VAN	2.3	2.9	NA	0.0042	NA
1	sp2	VAN	1.5	1.9	NA	0.0023	NA
1	sp3	VAN	3.5	3.4	NA	0.0075	NA
1	sp4	VAN	2.6	3.1	NA	0.0082	NA
1	sp5	VAN	1.2	0.8	NA	0.0006	NA
1	sp6	VAN	1.8	2.5	NA	0.0031	NA
1	sp7	VAN	1.7	2.6	NA	0.0037	NA
1	sp8	VAN	0.9	1.1	NA	0.0005	NA
2	sp1	GPR	1.4	2.2	NA	0.0021	NA
2	sp2	GPR	1.2	1.9	NA	0.0014	NA
2	sp3	GPR	0.4	0.9	NA	0.0011	NA
2	sp4	GPR	0.7	2.1	NA	0.0022	NA
2	sp5	GPR	0.7	2.1	NA	0.0024	NA
2	sp6	GPR	2	2.7	NA	0.0051	NA
2	sp7	GPR	2.2	2.6	NA	0.0039	NA
2	sp8	GPR	2.1	2.9	NA	0.0038	NA
3	sp1	CVU	1.8	2	NA	0.003	0.0095
3	sp2	CVU	1.5	2.1	NA	0.0033	NA
3	sp3	CVU	1.3	1.7	NA	0.0042	NA
3	sp4	CVU	1	1.9	NA	0.0019	NA
3	sp5	CVU	0.9	0.9	NA	0.0082	NA
3	sp6	CVU	0.9	1	NA	0.0006	NA
3	sp7	CVU	1.8	2.2	NA	0.0044	NA
3	sp8	CVU	1.3	1.5	NA	0.0027	NA
4	sp1	VMY	2.5	2.5	NA	0.0087	NA
4	sp2	VMY	1.7	2.1	NA	0.0031	NA
4	sp3	VMY	1.5	1.5	NA	0.0019	NA
4	sp4	VMY	2.1	2.4	NA	0.006	NA
4	sp5	VMY	0.9	1.1	NA	0.0019	NA
4	sp6	VMY	2	1.6	sick	0.002	NA
4	sp7	VMY	1.1	1.1	NA	0.0015	NA
4	sp8	VMY	0.8	1.2	NA	0.0012	NA
5	sp1	VCO	1.4	1.4	sick	0.0006	0.0131
5	sp2	VCO	1.7	1.6	NA	0.0016	NA
5	sp3	VCO	2	1.8	NA	0.005	NA
5	sp4	VCO	2.9	3	NA	0.0051	NA
5	sp5	VCO	1.3	2.5	NA	0.0022	NA
5	sp6	VCO	1.3	1.3	dead	0.0014	NA
5	sp7	VCO	3.1	3.2	NA	0.0038	NA
5	sp8	VCO	3.5	3.6	NA	0.0064	NA
6	sp1	VVI	1.6	2.6	NA	0.0034	NA
6	sp2	VVI	1.1	1.6	NA	0.0014	NA
6	sp3	VVI	1	1.8	NA	0.001	NA
6	sp4	VVI	0.5	0.8	NA	0.0006	NA
6	sp5	VVI	1.1	2.4	NA	0.0039	NA
6	sp6	VVI	1.6	2.1	NA	0.0036	NA
6	sp7	VVI	1.1	1.7	NA	0.0014	NA
6	sp8	VVI	1.3	1.7	NA	0.0031	NA
7	sp1	VMA	5.1	6	NA	0.0109	NA
7	sp2	VMA	4.7	5.4	NA	0.0102	NA
7	sp3	VMA	5.7	6.1	NA	0.0157	NA
7	sp4	VMA	4	4.7	NA	0.0072	NA
7	sp5	VMA	4.6	5.2	NA	0.0091	NA
7	sp6	VMA	4.6	5.5	NA	0.0126	NA
7	sp7	VMA	4.1	5.2	NA	0.0121	NA
7	sp8	VMA	4.1	4.8	NA	0.0088	NA
8	sp1	PJA	3.7	4.4	NA	0.0503	NA
8	sp2	PJA	2.3	2.7	NA	0.0266	NA
8	sp3	PJA	2.2	2.6	NA	0.0172	NA
8	sp4	PJA	3.3	4	NA	0.0985	NA
8	sp5	PJA	3	3.4	NA	0.0458	NA
8	sp6	PJA	1.5	2	NA	0.0267	NA
8	sp7	PJA	1	1.4	NA	0.0045	NA
8	sp8	PJA	2.5	3.2	NA	0.0656	NA
9	sp1	KLA	1	1.2	NA	0.0028	NA
9	sp2	KLA	3.6	3.7	NA	0.0439	NA
9	sp3	KLA	1.1	1.3	NA	0.0085	NA
9	sp4	KLA	1.3	2	NA	0.0202	NA
9	sp5	KLA	1.7	2.2	NA	0.0125	NA
9	sp6	KLA	1.9	1.2	NA	0.0139	NA
9	sp7	KLA	0.5	0.7	NA	0.0014	NA
9	sp8	KLA	3	3.2	NA	0.0285	NA
10	sp1	GMI	0.6	0.7	NA	not_detected	NA
10	sp2	GMI	0.3	0.5	dead	NA	NA
10	sp3	GMI	0.2	0.4	NA	not_detected	NA
10	sp4	GMI	0.6	0.5	NA	0.0004	NA
10	sp5	GMI	0.6	0.4	dead	not_detected	NA
10	sp6	GMI	0.5	0.6	NA	not_detected	NA
10	sp7	GMI	0.2	0.3	NA	not_detected	NA
10	sp8	GMI	0.6	0.6	NA	not_detected	NA
11	sp1	GSH	4.4	5.7	NA	0.0365	0.2431
11	sp2	GSH	5.9	6.9	NA	0.1023	NA
11	sp3	GSH	6.8	7.3	NA	0.1006	NA
11	sp4	GSH	5.4	6.5	NA	0.0857	NA
11	sp5	GSH	5.4	4	NA	0.0112	NA
11	sp6	GSH	5.1	6.1	NA	0.0763	NA
11	sp7	GSH	1.9	6.9	NA	0.0456	NA
11	sp8	GSH	2.9	3.5	NA	0.0124	NA
12	sp1	VAN	2.5	3.5	NA	0.0111	NA
12	sp2	VAN	1	1.2	NA	0.0012	NA
12	sp3	VAN	2.7	3.2	NA	0.008	NA
12	sp4	VAN	1.2	1.8	NA	0.0014	NA
12	sp5	VAN	0.9	1.1	NA	0.0014	NA
12	sp6	VAN	2.2	2.2	sick	0.0068	NA
12	sp7	VAN	0.8	1.1	NA	0.0005	NA
12	sp8	VAN	2.6	2.6	NA	0.0076	NA
13	sp1	GPR	1	2	NA	0.0033	NA
13	sp2	GPR	1.2	1.9	NA	0.0032	NA
13	sp3	GPR	1.1	1.7	NA	0.0023	NA
13	sp4	GPR	0.7	0.8	NA	not_detected	NA
13	sp5	GPR	1.1	1.6	NA	0.0056	NA
13	sp6	GPR	1.4	1.7	NA	0.0023	NA
13	sp7	GPR	1.2	1.6	NA	0.0019	NA
13	sp8	GPR	1.4	1.4	NA	0.0028	NA
14	sp1	CVU	0.3	0.9	NA	not_detected	0.0099
14	sp2	CVU	1.5	2.8	NA	0.0042	NA
14	sp3	CVU	0.9	2	NA	0.0035	NA
14	sp4	CVU	1.7	2.4	NA	0.0029	NA
14	sp5	CVU	0.3	0.6	NA	NA	NA
14	sp6	CVU	3.2	4.4	NA	0.0134	NA
14	sp7	CVU	0.2	NA	no_plant	NA	NA
14	sp8	CVU	1.3	2.4	NA	0.0015	NA
15	sp1	VMY	5	5.4	NA	0.0484	0.0137
15	sp2	VMY	1.4	1.3	no_leaves	0.0012	NA
15	sp3	VMY	2.1	1.9	no_leaves	0.0029	NA
15	sp4	VMY	0.7	0.5	NA	0.0005	NA
15	sp5	VMY	0.9	0.8	no_leaves	0.0016	NA
15	sp6	VMY	1.7	1.5	NA	0.0013	NA
15	sp7	VMY	1.6	1.5	no_leaves	0.0033	NA
15	sp8	VMY	0.8	0.8	no_leaves	0.0007	NA
16	sp1	VCO	0.5	1.2	NA	0.0007	NA
16	sp2	VCO	2	2.4	sick	0.0007	NA
16	sp3	VCO	2.4	2.9	NA	0.0041	NA
16	sp4	VCO	2.9	3.4	NA	0.0059	NA
16	sp5	VCO	1.7	1.5	dead	0.0011	NA
16	sp6	VCO	4.1	4.3	NA	0.0099	NA
16	sp7	VCO	0.3	0.5	NA	NA	NA
16	sp8	VCO	1	2.6	NA	0.0034	NA
17	sp1	VVI	2.2	3	NA	0.0025	NA
17	sp2	VVI	2.3	2.9	NA	0.0022	NA
17	sp3	VVI	1.4	2	NA	0.0026	NA
17	sp4	VVI	2.1	2.2	NA	0.0046	NA
17	sp5	VVI	1.5	2.7	NA	0.0022	NA
17	sp6	VVI	1.7	2.7	NA	0.0042	NA
17	sp7	VVI	1.8	1.9	NA	0.0031	NA
17	sp8	VVI	1.4	1.7	NA	0.0017	NA
18	sp1	VMA	1.3	3.2	NA	0.0046	0.0458
18	sp2	VMA	1	4.3	NA	0.0085	NA
18	sp3	VMA	1.2	5.5	NA	0.011	NA
18	sp4	VMA	2	5.2	NA	0.0126	NA
18	sp5	VMA	0.8	4.3	NA	0.0075	NA
18	sp6	VMA	1.3	3.9	NA	0.0077	NA
18	sp7	VMA	1	3.5	NA	0.0069	NA
18	sp8	VMA	1.7	5.1	NA	0.0099	NA
19	sp1	PJA	5.2	5.6	NA	0.1122	0.0956
19	sp2	PJA	1.2	1.2	NA	0.0034	NA
19	sp3	PJA	1	1.2	NA	0.0062	NA
19	sp4	PJA	1.4	1.5	NA	0.0038	NA
19	sp5	PJA	4.1	4.1	NA	0.0433	NA
19	sp6	PJA	3.5	3.5	NA	0.0693	NA
19	sp7	PJA	1.4	1.1	NA	0.0032	NA
19	sp8	PJA	2.8	2.5	NA	0.0227	NA
20	sp1	KLA	1.6	2.2	NA	0.0061	NA
20	sp2	KLA	0.6	0.9	NA	0.0027	NA
20	sp3	KLA	1.9	1.4	NA	0.0145	NA
20	sp4	KLA	2.1	2.2	NA	0.0338	NA
20	sp5	KLA	1.6	1.9	NA	0.0115	NA
20	sp6	KLA	2.2	2	NA	0.0283	NA
20	sp7	KLA	1.1	1.6	NA	0.0031	NA
20	sp8	KLA	1.2	1.8	NA	0.0175	NA
21	sp1	GMI	0.3	NA	no_plant	NA	NA
21	sp2	GMI	0.6	0.3	NA	not_detected	NA
21	sp3	GMI	0.5	0.5	NA	not_detected	NA
21	sp4	GMI	0.2	0.2	NA	not_detected	NA
21	sp5	GMI	0.4	0.5	NA	0.0005	NA
21	sp6	GMI	0.3	0.6	NA	0.0006	NA
21	sp7	GMI	0.4	0.3	NA	not_detected	NA
21	sp8	GMI	0.3	0.7	NA	0.0004	NA
22	sp1	GSH	5.7	5.6	NA	0.0854	0.0459
22	sp2	GSH	3.8	4.3	NA	0.0177	NA
22	sp3	GSH	3.5	3.8	NA	0.0207	NA
22	sp4	GSH	8.5	8.8	NA	0.1238	NA
22	sp5	GSH	3.8	4	NA	0.0088	NA
22	sp6	GSH	5.6	6.3	NA	0.0418	NA
22	sp7	GSH	0.5	0.9	NA	0.0042	NA
