"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","p_level","f_comb","f_level","meso_num","fun_inoc_tube_num"
"1","VAN","VAN","VAN","VAN","VAN","VAN","VAN","VAN","1","NA","0",1,NA
"2","GPR","GPR","GPR","GPR","GPR","GPR","GPR","GPR","1","NA","0",2,NA
"3","CVU","CVU","CVU","CVU","CVU","CVU","CVU","CVU","1","NA","0",3,NA
"4","VMY","VMY","VMY","VMY","VMY","VMY","VMY","VMY","1","NA","0",4,NA
"5","VCO","VCO","VCO","VCO","VCO","VCO","VCO","VCO","1","NA","0",5,NA
"6","VVI","VVI","VVI","VVI","VVI","VVI","VVI","VVI","1","NA","0",6,NA
"7","VMA","VMA","VMA","VMA","VMA","VMA","VMA","VMA","1","NA","0",7,NA
"8","PJA","PJA","PJA","PJA","PJA","PJA","PJA","PJA","1","NA","0",8,NA
"9","KLA","KLA","KLA","KLA","KLA","KLA","KLA","KLA","1","NA","0",9,NA
"10","GMI","GMI","GMI","GMI","GMI","GMI","GMI","GMI","1","NA","0",10,NA
"11","GSH","GSH","GSH","GSH","GSH","GSH","GSH","GSH","1","NA","0",11,NA
"12","VAN","VAN","VAN","VAN","VAN","VAN","VAN","VAN","1","NA","0",12,NA
"13","GPR","GPR","GPR","GPR","GPR","GPR","GPR","GPR","1","NA","0",13,NA
"14","CVU","CVU","CVU","CVU","CVU","CVU","CVU","CVU","1","NA","0",14,NA
"15","VMY","VMY","VMY","VMY","VMY","VMY","VMY","VMY","1","NA","0",15,NA
"16","VCO","VCO","VCO","VCO","VCO","VCO","VCO","VCO","1","NA","0",16,NA
"17","VVI","VVI","VVI","VVI","VVI","VVI","VVI","VVI","1","NA","0",17,NA
"18","VMA","VMA","VMA","VMA","VMA","VMA","VMA","VMA","1","NA","0",18,NA
"19","PJA","PJA","PJA","PJA","PJA","PJA","PJA","PJA","1","NA","0",19,NA
"20","KLA","KLA","KLA","KLA","KLA","KLA","KLA","KLA","1","NA","0",20,NA
"21","GMI","GMI","GMI","GMI","GMI","GMI","GMI","GMI","1","NA","0",21,NA
"22","GSH","GSH","GSH","GSH","GSH","GSH","GSH","GSH","1","NA","0",22,NA
"23","VAN","VAN","VAN","VAN","VAN","VAN","VAN","VAN","1","NA","0",23,NA
"24","GPR","GPR","GPR","GPR","GPR","GPR","GPR","GPR","1","NA","0",24,NA
"25","CVU","CVU","CVU","CVU","CVU","CVU","CVU","CVU","1","NA","0",25,NA
"26","VMY","VMY","VMY","VMY","VMY","VMY","VMY","VMY","1","NA","0",26,NA
"27","VCO","VCO","VCO","VCO","VCO","VCO","VCO","VCO","1","NA","0",27,NA
"28","VVI","VVI","VVI","VVI","VVI","VVI","VVI","VVI","1","NA","0",28,NA
"29","VMA","VMA","VMA","VMA","VMA","VMA","VMA","VMA","1","NA","0",29,NA
"30","PJA","PJA","PJA","PJA","PJA","PJA","PJA","PJA","1","NA","0",30,NA
"31","KLA","KLA","KLA","KLA","KLA","KLA","KLA","KLA","1","NA","0",31,NA
"32","GMI","GMI","GMI","GMI","GMI","GMI","GMI","GMI","1","NA","0",32,NA
"33","GSH","GSH","GSH","GSH","GSH","GSH","GSH","GSH","1","NA","0",33,NA
"34","VAN","VMY","VAN","VMY","VAN","VMY","VAN","VMY","2","NA","0",34,NA
